"family","alignment","n","skewness","sd_ratio","test","rejection_rate","mcse","lower","upper","reps","seed"
"gamma","mean",1000,4,1.4,"welch",0.046,0.00936845771725528,0.0276378228741797,0.0643621771258203,500,22701507
"gamma","mean",1000,4,1.4,"wmw",1,0,1,1,500,22701507
"gamma","mean",1000,4,1.5,"welch",0.052,0.00992935043192655,0.032538473153424,0.071461526846576,500,22701508
"gamma","mean",1000,4,1.5,"wmw",1,0,1,1,500,22701508
"lognormal","mean",1000,1,1.05,"welch",0.058,0.0104533248299285,0.0375114833333401,0.0784885166666599,500,22701509
"lognormal","mean",1000,1,1.05,"wmw",0.056,0.0102824121683582,0.035846472150018,0.076153527849982,500,22701509
"lognormal","mean",1000,1,1.1,"welch",0.046,0.00936845771725528,0.0276378228741797,0.0643621771258203,500,22701510
"lognormal","mean",1000,1,1.1,"wmw",0.074,0.0117067501895274,0.0510547696285263,0.0969452303714737,500,22701510
"lognormal","mean",1000,1,1.15,"welch",0.056,0.0102824121683582,0.035846472150018,0.076153527849982,500,22701511
"lognormal","mean",1000,1,1.15,"wmw",0.128,0.0149409504383088,0.0987157371409147,0.157284262859085,500,22701511
"lognormal","mean",1000,1,1.2,"welch",0.052,0.00992935043192655,0.032538473153424,0.071461526846576,500,22701512
"lognormal","mean",1000,1,1.2,"wmw",0.152,0.0160559023415067,0.120530431410647,0.183469568589353,500,22701512
"lognormal","mean",1000,1,1.25,"welch",0.04,0.00876356092008266,0.022823420596638,0.057176579403362,500,22701513
"lognormal","mean",1000,1,1.25,"wmw",0.212,0.0182787308093314,0.17617368761371,0.247826312386289,500,22701513
"lognormal","mean",1000,1,1.3,"welch",0.056,0.0102824121683582,0.035846472150018,0.076153527849982,500,22701514
"lognormal","mean",1000,1,1.3,"wmw",0.28,0.0200798406368178,0.240643512351837,0.319356487648163,500,22701514
"lognormal","mean",1000,1,1.4,"welch",0.048,0.00955991631762538,0.0292625640174543,0.0667374359825458,500,22701515
"lognormal","mean",1000,1,1.4,"wmw",0.406,0.0219619671250095,0.362954544434981,0.449045455565019,500,22701515
"lognormal","mean",1000,1,1.5,"welch",0.054,0.0101078187557949,0.0341886752386419,0.0738113247613581,500,22701516
"lognormal","mean",1000,1,1.5,"wmw",0.512,0.0223542389716134,0.468185691615638,0.555814308384362,500,22701516
"lognormal","mean",1000,2,1.05,"welch",0.044,0.00917213170424411,0.0260226218596815,0.0619773781403185,500,22701517
"lognormal","mean",1000,2,1.05,"wmw",0.07,0.0114105214604767,0.0476353779374656,0.0923646220625344,500,22701517
"lognormal","mean",1000,2,1.1,"welch",0.042,0.00897061870775924,0.0244175873327919,0.0595824126672081,500,22701518
"lognormal","mean",1000,2,1.1,"wmw",0.146,0.015791390059143,0.11504887548408,0.17695112451592,500,22701518
"lognormal","mean",1000,2,1.15,"welch",0.058,0.0104533248299285,0.0375114833333401,0.0784885166666599,500,22701519
"lognormal","mean",1000,2,1.15,"wmw",0.282,0.0201234191925726,0.242558098382558,0.321441901617442,500,22701519
"lognormal","mean",1000,2,1.2,"welch",0.064,0.0109456840809517,0.0425464592013346,0.0854535407986654,500,22701520
"lognormal","mean",1000,2,1.2,"wmw",0.416,0.022042867327097,0.37279598003889,0.45920401996111,500,22701520
"lognormal","mean",1000,2,1.25,"welch",0.06,0.0106207344378814,0.0391833605017525,0.0808166394982475,500,22701521
"lognormal","mean",1000,2,1.25,"wmw",0.57,0.0221404606998138,0.526604697028365,0.613395302971635,500,22701521
"lognormal","mean",1000,2,1.3,"welch",0.052,0.00992935043192655,0.032538473153424,0.071461526846576,500,22701522
"lognormal","mean",1000,2,1.3,"wmw",0.718,0.0201234191925726,0.678558098382558,0.757441901617442,500,22701522
"lognormal","mean",1000,2,1.4,"welch",0.052,0.00992935043192655,0.032538473153424,0.071461526846576,500,22701523
"lognormal","mean",1000,2,1.4,"wmw",0.896,0.013651666564929,0.869242733532739,0.922757266467261,500,22701523
"lognormal","mean",1000,2,1.5,"welch",0.06,0.0106207344378814,0.0391833605017525,0.0808166394982475,500,22701524
"lognormal","mean",1000,2,1.5,"wmw",0.942,0.0104533248299285,0.92151148333334,0.96248851666666,500,22701524
"lognormal","mean",1000,3,1.05,"welch",0.05,0.00974679434480896,0.0308962830841744,0.0691037169158256,500,22701525
"lognormal","mean",1000,3,1.05,"wmw",0.084,0.0124051602166195,0.0596858859754257,0.108314114024574,500,22701525
"lognormal","mean",1000,3,1.1,"welch",0.058,0.0104533248299285,0.0375114833333401,0.0784885166666599,500,22701526
"lognormal","mean",1000,3,1.1,"wmw",0.256,0.0195173768729304,0.217745941329056,0.294254058670944,500,22701526
"lognormal","mean",1000,3,1.15,"welch",0.062,0.0107848041243223,0.0408617839163282,0.0831382160836718,500,22701527
"lognormal","mean",1000,3,1.15,"wmw",0.512,0.0223542389716134,0.468185691615638,0.555814308384362,500,22701527
"lognormal","mean",1000,3,1.2,"welch",0.044,0.00917213170424411,0.0260226218596815,0.0619773781403185,500,22701528
"lognormal","mean",1000,3,1.2,"wmw",0.67,0.0210285520186246,0.628784038043496,0.711215961956504,500,22701528
"lognormal","mean",1000,3,1.25,"welch",0.044,0.00917213170424411,0.0260226218596815,0.0619773781403185,500,22701529
"lognormal","mean",1000,3,1.25,"wmw",0.866,0.0152344346793703,0.836140508028434,0.895859491971566,500,22701529
"lognormal","mean",1000,3,1.3,"welch",0.046,0.00936845771725528,0.0276378228741797,0.0643621771258203,500,22701530
"lognormal","mean",1000,3,1.3,"wmw",0.93,0.0114105214604767,0.907635377937466,0.952364622062534,500,22701530
"lognormal","mean",1000,3,1.4,"welch",0.062,0.0107848041243223,0.0408617839163282,0.0831382160836718,500,22701531
"lognormal","mean",1000,3,1.4,"wmw",0.992,0.0039839678713564,0.984191422972141,0.999808577027859,500,22701531
"lognormal","mean",1000,3,1.5,"welch",0.058,0.0104533248299285,0.0375114833333401,0.0784885166666599,500,22701532
"lognormal","mean",1000,3,1.5,"wmw",1,0,1,1,500,22701532
"lognormal","mean",1000,4,1.05,"welch",0.048,0.00955991631762538,0.0292625640174543,0.0667374359825458,500,22701533
"lognormal","mean",1000,4,1.05,"wmw",0.14,0.0155177317930167,0.109585245685687,0.170414754314313,500,22701533
"lognormal","mean",1000,4,1.1,"welch",0.064,0.0109456840809517,0.0425464592013346,0.0854535407986654,500,22701534
"lognormal","mean",1000,4,1.1,"wmw",0.378,0.0216848334095515,0.335497726517279,0.420502273482721,500,22701534
"lognormal","mean",1000,4,1.15,"welch",0.06,0.0106207344378814,0.0391833605017525,0.0808166394982475,500,22701535
"lognormal","mean",1000,4,1.15,"wmw",0.702,0.0204546327270865,0.66190891985491,0.74209108014509,500,22701535
"lognormal","mean",1000,4,1.2,"welch",0.04,0.00876356092008266,0.022823420596638,0.057176579403362,500,22701536
"lognormal","mean",1000,4,1.2,"wmw",0.876,0.0147393351274744,0.84711090315015,0.90488909684985,500,22701536
"lognormal","mean",1000,4,1.25,"welch",0.044,0.00917213170424411,0.0260226218596815,0.0619773781403185,500,22701537
"lognormal","mean",1000,4,1.25,"wmw",0.964,0.0083311463797007,0.947670953095787,0.980329046904213,500,22701537
"lognormal","mean",1000,4,1.3,"welch",0.046,0.00936845771725528,0.0276378228741797,0.0643621771258203,500,22701538
"lognormal","mean",1000,4,1.3,"wmw",0.994,0.00345369367489359,0.987230760397209,1,500,22701538
"lognormal","mean",1000,4,1.4,"welch",0.04,0.00876356092008266,0.022823420596638,0.057176579403362,500,22701539
"lognormal","mean",1000,4,1.4,"wmw",1,0,1,1,500,22701539
"lognormal","mean",1000,4,1.5,"welch",0.038,0.00855055553750749,0.0212409111464853,0.0547590888535147,500,22701540
"lognormal","mean",1000,4,1.5,"wmw",1,0,1,1,500,22701540
