"scope","comparisons","bias_pp","mae_pp","rmse_pp","max_abs_error_pp","nrmse_range_percent","pearson_r","r_squared","lin_ccc","regression_intercept_pp","regression_slope","within_0_5pp_percent","within_1pp_percent","mc_pass_percent","mean_abs_z","max_abs_z"
"overall",28,-0.104285714285715,0.232857142857143,0.317568890164009,0.920000000000004,0.330800927254176,0.99992410675272,0.999848219265224,0.999912405241754,-0.0695057798075355,0.997802215830763,92.8571428571429,100,100,0.622240339607377,2.65314488169822
"family:gamma",14,-0.132142857142857,0.243571428571428,0.317523902362371,0.79,0.330754064960803,0.999957682618812,0.999915367028385,0.999948758398572,-0.123603657177225,0.999642069462518,92.8571428571429,100,100,0.6805402615402,2.65314488169822
"family:lognormal",14,-0.0764285714285717,0.222142857142857,0.317613871593437,0.920000000000004,1.32339113163932,0.999719708007775,0.999439494579152,0.998705242709465,0.256433261987113,0.957286290854083,92.8571428571429,100,100,0.563940417674554,1.46146843176199
"test:welch",14,0.00285714285714274,0.198571428571429,0.281450325482643,0.79,12.2369706731584,0.900247726325092,0.810445968753497,0.899094016871824,0.656188590520982,0.8559584209875,92.8571428571429,100,100,0.669706887622073,2.65314488169822
"test:wmw",14,-0.211428571428572,0.267142857142857,0.34997959124171,0.920000000000004,0.370348773800752,0.999956711681691,0.99991342523726,0.999931835385743,-0.209702522095274,0.999936341700037,92.8571428571429,100,100,0.574773791592681,1.46146843176199
"family_test:gamma/welch",7,-0.0614285714285716,0.244285714285714,0.351100311266493,0.79,15.2652309246302,0.896747221981118,0.804155580130853,0.889538296670038,0.773112449799197,0.813955823293173,85.7142857142857,100,100,0.829031166855511,2.65314488169822
"family_test:gamma/wmw",7,-0.202857142857143,0.242857142857142,0.279948974942628,0.480000000000003,0.302647540478517,0.999986315917529,0.999972632022311,0.999967860725871,-0.279174879560794,1.0017654466521,100,100,100,0.532049356224889,0.919601508774613
"family_test:lognormal/welch",7,0.0671428571428571,0.152857142857143,0.187502380937264,0.39,13.3930272098046,0.928307125151092,0.861754118606285,0.918474068535354,0.324085603112848,0.943968871595329,100,100,100,0.510382608388635,1.28490311016936
"family_test:lognormal/wmw",7,-0.220000000000001,0.291428571428572,0.408166632639172,0.920000000000004,1.7517881229149,0.999895327038509,0.999790665033446,0.998564952805381,0.241666509255761,0.958030317340385,85.7142857142857,100,100,0.617498226960473,1.46146843176199
