"family","skewness","sd_ratio","alignment","mean_x","mean_y","median_x","median_y","sd_x","sd_y","pr_x_lt_y"
"gamma",3,1.1,"mean",0.666666666666667,0.666666666666667,0.231575469263105,0.27112921448161,1.1,1,0.555277721148121
"lognormal",3,1.1,"mean",1.22289696665866,1.22289696665866,0.919057700135559,0.946679451637659,1.1,1,0.517417017065522
