"method","estimate","lower","upper"
"Welch mean",-0.0521411295456065,-0.146984479820514,0.0427022207293008
"Bootstrap mean",-0.0502598317547707,-0.142387989696422,0.0404000232194958
"WMW location",-0.0694188086285318,-0.125515010215557,-0.0124581715588274
