"section","row","level","col","type","repro","repro_sd","paper","paper_sd","p_repro","p_paper","diff","diff_sd"
"Education level, (%)","Education level, (%)","High school","Q2","cat",21.3213951563854,NA,21.31,NA,"<0.001","<0.001",0.0113951563854293,NA
"Education level, (%)","Education level, (%)","High school","Q3","cat",24.1567619433321,NA,24.15,NA,"<0.001","<0.001",0.00676194333210489,NA
"Education level, (%)","Education level, (%)","High school","Q4","cat",26.4485439509337,NA,26.44,NA,"<0.001","<0.001",0.0085439509336922,NA
"Education level, (%)","Education level, (%)","More than high school","Q1","cat",72.7903825508012,NA,72.79,NA,"<0.001","<0.001",0.000382550801163006,NA
"Education level, (%)","Education level, (%)","More than high school","Q2","cat",66.3580021441928,NA,66.33,NA,"<0.001","<0.001",0.0280021441927687,NA
"Education level, (%)","Education level, (%)","More than high school","Q3","cat",59.7733833009142,NA,59.76,NA,"<0.001","<0.001",0.0133833009142421,NA
"Education level, (%)","Education level, (%)","More than high school","Q4","cat",54.1890094288465,NA,54.17,NA,"<0.001","<0.001",0.0190094288464877,NA
"Smoking, (%)","Smoking, (%)","Ever","Q1","cat",36.927979463191,NA,36.91,NA,"<0.001","<0.001",0.0179794631909971,NA
"Smoking, (%)","Smoking, (%)","Ever","Q2","cat",43.6163102310522,NA,43.59,NA,"<0.001","<0.001",0.026310231052193,NA
"Smoking, (%)","Smoking, (%)","Ever","Q3","cat",46.8937856079712,NA,46.87,NA,"<0.001","<0.001",0.0237856079711563,NA
"Smoking, (%)","Smoking, (%)","Ever","Q4","cat",47.9420843061751,NA,47.93,NA,"<0.001","<0.001",0.0120843061751401,NA
"Smoking, (%)","Smoking, (%)","Never","Q1","cat",63.072020536809,NA,63.09,NA,"<0.001","<0.001",-0.0179794631909971,NA
"Smoking, (%)","Smoking, (%)","Never","Q2","cat",56.3836897689478,NA,56.41,NA,"<0.001","<0.001",-0.0263102310522001,NA
"Smoking, (%)","Smoking, (%)","Never","Q3","cat",53.1062143920288,NA,53.13,NA,"<0.001","<0.001",-0.0237856079711563,NA
"Smoking, (%)","Smoking, (%)","Never","Q4","cat",52.0579156938249,NA,52.07,NA,"<0.001","<0.001",-0.0120843061751259,NA
"Diabetes, (%)","Diabetes, (%)","Yes","Q1","cat",3.00918687061884,NA,3.01,NA,"<0.001","<0.001",-0.00081312938115774,NA
"Diabetes, (%)","Diabetes, (%)","Yes","Q2","cat",8.60159165072372,NA,8.6,NA,"<0.001","<0.001",0.0015916507237197,NA
"Diabetes, (%)","Diabetes, (%)","Yes","Q3","cat",14.8518189115289,NA,14.85,NA,"<0.001","<0.001",0.00181891152889158,NA
"Diabetes, (%)","Diabetes, (%)","Yes","Q4","cat",26.7816404993071,NA,26.76,NA,"<0.001","<0.001",0.0216404993071109,NA
"Diabetes, (%)","Diabetes, (%)","No","Q1","cat",96.9908131293812,NA,96.99,NA,"<0.001","<0.001",0.000813129381171507,NA
"Diabetes, (%)","Diabetes, (%)","No","Q2","cat",91.3984083492763,NA,91.4,NA,"<0.001","<0.001",-0.00159165072373924,NA
"Diabetes, (%)","Diabetes, (%)","No","Q3","cat",85.1481810884711,NA,85.15,NA,"<0.001","<0.001",-0.00181891152890046,NA
"Diabetes, (%)","Diabetes, (%)","No","Q4","cat",73.2183595006929,NA,73.24,NA,"<0.001","<0.001",-0.0216404993071251,NA
"High blood pressure, (%)","High blood pressure, (%)","Yes","Q1","cat",13.8944875860627,NA,13.89,NA,"<0.001","<0.001",0.0044875860626874,NA
"High blood pressure, (%)","High blood pressure, (%)","Yes","Q2","cat",29.071632648552,NA,29.05,NA,"<0.001","<0.001",0.0216326485519822,NA
"High blood pressure, (%)","High blood pressure, (%)","Yes","Q3","cat",38.8321099608918,NA,38.8,NA,"<0.001","<0.001",0.0321099608918516,NA
"High blood pressure, (%)","High blood pressure, (%)","Yes","Q4","cat",52.8066151277882,NA,52.73,NA,"<0.001","<0.001",0.0766151277881875,NA
"High blood pressure, (%)","High blood pressure, (%)","No","Q1","cat",86.1055124139373,NA,86.11,NA,"<0.001","<0.001",-0.00448758606268029,NA
"High blood pressure, (%)","High blood pressure, (%)","No","Q2","cat",70.928367351448,NA,70.95,NA,"<0.001","<0.001",-0.0216326485519858,NA
"High blood pressure, (%)","High blood pressure, (%)","No","Q3","cat",61.1678900391082,NA,61.2,NA,"<0.001","<0.001",-0.0321099608918516,NA
"High blood pressure, (%)","High blood pressure, (%)","No","Q4","cat",47.1933848722118,NA,47.27,NA,"<0.001","<0.001",-0.0766151277881875,NA
"Coronary heart disease, (%)","Coronary heart disease, (%)","Yes","Q1","cat",0.83549527861662,NA,0.83,NA,"<0.001","<0.001",0.00549527861661991,NA
"Coronary heart disease, (%)","Coronary heart disease, (%)","Yes","Q2","cat",2.23576184206736,NA,2.23,NA,"<0.001","<0.001",0.00576184206736396,NA
"Coronary heart disease, (%)","Coronary heart disease, (%)","Yes","Q3","cat",4.29510043190681,NA,4.28,NA,"<0.001","<0.001",0.0151004319068111,NA
"Coronary heart disease, (%)","Coronary heart disease, (%)","Yes","Q4","cat",7.23479412195234,NA,7.2,NA,"<0.001","<0.001",0.0347941219523422,NA
"Coronary heart disease, (%)","Coronary heart disease, (%)","No","Q1","cat",99.1645047213834,NA,99.17,NA,"<0.001","<0.001",-0.00549527861662114,NA
"Coronary heart disease, (%)","Coronary heart disease, (%)","No","Q2","cat",97.7642381579326,NA,97.77,NA,"<0.001","<0.001",-0.00576184206735775,NA
"Coronary heart disease, (%)","Coronary heart disease, (%)","No","Q3","cat",95.7048995680932,NA,95.72,NA,"<0.001","<0.001",-0.0151004319068022,NA
"Coronary heart disease, (%)","Coronary heart disease, (%)","No","Q4","cat",92.7652058780477,NA,92.8,NA,"<0.001","<0.001",-0.0347941219523449,NA
"Cancer, (%)","Cancer, (%)","Yes","Q1","cat",5.09466013762581,NA,5.09,NA,"<0.001","<0.001",0.00466013762580797,NA
"Cancer, (%)","Cancer, (%)","Yes","Q2","cat",9.74979234497519,NA,9.75,NA,"<0.001","<0.001",-0.000207655024814457,NA
"Cancer, (%)","Cancer, (%)","Yes","Q3","cat",11.880774960955,NA,11.87,NA,"<0.001","<0.001",0.0107749609549916,NA
"Cancer, (%)","Cancer, (%)","Yes","Q4","cat",16.8946568840246,NA,16.89,NA,"<0.001","<0.001",0.00465688402460884,NA
"Cancer, (%)","Cancer, (%)","No","Q1","cat",94.9053398623742,NA,94.91,NA,"<0.001","<0.001",-0.00466013762580531,NA
"Cancer, (%)","Cancer, (%)","No","Q2","cat",90.2502076550248,NA,90.25,NA,"<0.001","<0.001",0.000207655024823339,NA
"Cancer, (%)","Cancer, (%)","No","Q3","cat",88.119225039045,NA,88.13,NA,"<0.001","<0.001",-0.0107749609549899,NA
"Cancer, (%)","Cancer, (%)","No","Q4","cat",83.1053431159754,NA,83.11,NA,"<0.001","<0.001",-0.0046568840246124,NA
"Stroke, (%)","Stroke, (%)","Yes","Q1","cat",0.900159927470866,NA,0.9,NA,"<0.001","<0.001",0.000159927470865906,NA
"Stroke, (%)","Stroke, (%)","Yes","Q2","cat",2.00279152629831,NA,2,NA,"<0.001","<0.001",0.00279152629830959,NA
"Stroke, (%)","Stroke, (%)","Yes","Q3","cat",3.07517776573425,NA,3.08,NA,"<0.001","<0.001",-0.00482223426575379,NA
"Stroke, (%)","Stroke, (%)","Yes","Q4","cat",5.49331030885552,NA,5.49,NA,"<0.001","<0.001",0.0033103088555233,NA
"Stroke, (%)","Stroke, (%)","No","Q1","cat",99.0998400725291,NA,99.1,NA,"<0.001","<0.001",-0.000159927470861021,NA
"Stroke, (%)","Stroke, (%)","No","Q2","cat",97.9972084737017,NA,98,NA,"<0.001","<0.001",-0.00279152629831003,NA
"Stroke, (%)","Stroke, (%)","No","Q3","cat",96.9248222342657,NA,96.92,NA,"<0.001","<0.001",0.00482223426574535,NA
"Stroke, (%)","Stroke, (%)","No","Q4","cat",94.5066896911445,NA,94.51,NA,"<0.001","<0.001",-0.00331030885553218,NA
"BMI (kg/m2)","BMI (kg/m2)","","Q1","cont",24.9629825705067,4.701050586681,24.96,4.7,"<0.001","<0.001",0.0029825705067239,0.00105058668100089
"BMI (kg/m2)","BMI (kg/m2)","","Q2","cont",28.3194274623117,5.32152282434918,28.32,5.32,"<0.001","<0.001",-0.000572537688309893,0.00152282434918316
"BMI (kg/m2)","BMI (kg/m2)","","Q3","cont",30.6718619004742,6.3708437092207,30.67,6.37,"<0.001","<0.001",0.00186190047421064,0.000843709220702316
"BMI (kg/m2)","BMI (kg/m2)","","Q4","cont",34.2305483078177,7.82719321126997,34.22,7.82,"<0.001","<0.001",0.0105483078177429,0.00719321126997308
"Waist circumference (cm)","Waist circumference (cm)","","Q1","cont",86.0879086459237,10.5605623342503,86.09,10.56,"<0.001","<0.001",-0.00209135407625638,0.000562334250290064
"Waist circumference (cm)","Waist circumference (cm)","","Q2","cont",97.2435902617177,11.6070592875919,97.24,11.61,"<0.001","<0.001",0.00359026171771859,-0.00294071240806204
